accession	description	scientific_name	base_count	last_updated
BI571817	RH07117.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH07117 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	535	2001-09-07
AF171740	AF171740 Drosophila melanogaster brain Canton S adult Drosophila melanogaster cDNA clone 201 similar to mRNA for alcohol dehydrogenase related function, mRNA sequence.	Drosophila melanogaster	562	2000-03-03
AI404819	GH24657.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH24657 5prime similar to X60793: D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase, mRNA sequence.	Drosophila melanogaster	667	2001-04-25
BF503615	AT04696.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT04696 5 similar to CG6083: FBan0006083 'alcohol dehydrogenase, iron-dependent' located on: 3L 68C9-68C10 : 04/07/2001, mRNA sequence.	Drosophila melanogaster	730	2001-04-26
BI241261	RE38288.5prime RE Drosophila melanogaster normalized Embryo pFlc-1 Drosophila melanogaster cDNA clone RE38288 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 05/12/2001, mRNA sequence.	Drosophila melanogaster	679	2001-07-15
BI606073	RH72161.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH72161 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/24/2001, mRNA sequence.	Drosophila melanogaster	593	2001-09-10
BI618605	RH49473.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH49473 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/19/2001, mRNA sequence.	Drosophila melanogaster	647	2001-09-11
CK133169	RE17806.3prime RE Drosophila melanogaster normalized Embryo pFlc-1 Drosophila melanogaster cDNA clone RE17806 3 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/14/2002, mRNA sequence.	Drosophila melanogaster	633	2003-12-03
BI622627	RH54530.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH54530 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/22/2001, mRNA sequence.	Drosophila melanogaster	582	2001-09-11
BI613172	RH42270.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH42270 5 similar to T3dh: FBan0003425 GO:[alcohol dehydrogenase (GO:0004022) enzyme (GO:0003824)] located on: 2R 58D4-58D4 : 08/01/2001, mRNA sequence.	Drosophila melanogaster	636	2004-01-17
X00607	Drosophila simulans gene for alcohol dehydrogenase	Drosophila simulans	4607	2005-04-18
AY279325	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.	Drosophila orena	1724	2006-11-14
AY040854	Drosophila melanogaster alcohol dehydrogenase gene silencer sequence.	Drosophila melanogaster	1180	2001-08-19
HQ631470	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	Drosophila bipectinata	290	2012-01-02
HQ631471	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	Drosophila bocki	290	2012-01-02
HQ631484	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	Drosophila pulchrella	290	2012-01-02
GQ376034	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila pseudoananassae	410	2009-08-03
GQ376035	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila bipectinata	410	2009-08-03
Z00032	Drosophila orena alcohol dehydrogenase gene and flanking regions	Drosophila orena	2617	2006-11-14
KM016471	Drosophila simulans isolate KY32 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	479	2014-09-24
X60793	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	Drosophila melanogaster	2763	2006-11-14
AH000980	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	Drosophila melanogaster	2474	2016-06-13
X57374	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57376	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57372	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
AB154553	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh12.	Drosophila kikkawai	675	2005-04-14
AF201429	Drosophila simulans isolate TT01 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
KX976486	Drosophila yakuba isolate Yakuba_SJ7 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976513	Drosophila yakuba isolate Yakuba_2_11 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976489	Drosophila yakuba isolate Yakuba_SJ14 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976512	Drosophila yakuba isolate Yakuba_3_16 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976518	Drosophila yakuba isolate Yakuba_1_7 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB154543	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh02.	Drosophila kikkawai	675	2005-04-14
AB154544	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh03.	Drosophila kikkawai	683	2005-04-14
AB154551	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh10.	Drosophila kikkawai	683	2005-04-14
AF201449	Drosophila simulans isolate MDW86 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	481	2006-11-14
AF284481	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila sechellia	700	2006-11-14
JX455213	Drosophila simulans isolate HW04 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	481	2014-01-02
KX976497	Drosophila yakuba isolate Yakuba_Cascade_SN6 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
JX455216	Drosophila simulans isolate HW47 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX976521	Drosophila yakuba isolate Yakuba_2_8 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976492	Drosophila yakuba isolate Yakuba_SN7 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976500	Drosophila yakuba isolate Yakuba_Anton_1_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB669850	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	Drosophila burlai	833	2014-01-02
AB669859	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	Drosophila bocki	831	2014-01-02
X54120	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	Drosophila yakuba	2284	2006-11-14
AF459753	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila biarmipes	290	2006-11-14
AF459763	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila watanabei	290	2006-11-14
AF459771	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila kikkawai	290	2006-11-14
KY002642	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_KL6 alcohol dehydrogenase-like gene, complete sequence.	Drosophila melanogaster	819	2017-10-13
AB669824	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	Drosophila asahinai	839	2014-01-02
AB669834	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	Drosophila rufa	838	2014-01-02
AB669858	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.	Drosophila barbarae	833	2014-01-02
AB669864	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.	Drosophila kikkawai	832	2014-01-02
AF459772	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila lini	290	2006-11-14
AF459775	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila triauraria	290	2006-11-14
AB669882	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	Drosophila bicornuta	838	2014-01-02
AY804554	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila santomea	759	2005-10-06
AH011594	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila biauraria	565	2016-04-08
LC057203	Drosophila lutescens Adh gene for alcohol dehydrogenase, partial cds, strain: AK96-3.	Drosophila lutescens	837	2019-06-04
AF476924	Drosophila quadraria strain 14028-0651.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila quadraria	405	2005-04-15
M17830	D.melanogaster (strain Fr-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	Drosophila melanogaster	2722	2006-11-14
AB669887	Drosophila mayri Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0591.01.	Drosophila mayri	836	2014-01-02
AB669888	Drosophila orosa Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0611.00.	Drosophila orosa	839	2014-01-02
M17836	D.melanogaster (strain Af-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2770	2006-11-14
AB669855	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0531.02.	Drosophila watanabei	825	2014-01-02
M17832	D.melanogaster (strain Ja-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	Drosophila melanogaster	2727	2006-11-14
AB194428	Drosophila merina Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila merina	1800	2006-02-27
AB194424	Drosophila pseudoananassae nigrens Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila pseudoananassae nigrens	1779	2006-02-27
AF348878	Drosophila auraria strain WK alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila auraria	667	2006-11-14
AF348885	Drosophila subauraria strain SP alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila subauraria	667	2006-11-14
CK131258	GH27610.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH27610 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.	Drosophila melanogaster	607	2003-12-03
CV790484	zaa36c05.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	726	2004-11-12
CV785893	zaa02h11.y1 D yakuba testes cDNA Drosophila yakuba cDNA 5' similar to SW:ADH_DROTE P28484 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	467	2004-11-12
BI628420	RH56810.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH56810 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/22/2001, mRNA sequence.	Drosophila melanogaster	590	2001-09-11
BI571028	RH05837.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH05837 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	676	2001-09-07
BI571793	RH07086.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH07086 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	530	2001-09-07
BI571034	RH05843.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH05843 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	547	2001-09-07
CV042948	dba16c04.x1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila simulans	535	2004-08-24
AA567713	HL01670.5prime HL Drosophila melanogaster head BlueScript Drosophila melanogaster cDNA clone HL01670 5prime similar to M22210: D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds. DATE:12/18/97, mRNA sequence.	Drosophila melanogaster	281	2001-04-25
BF501656	AT17045.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT17045 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	Drosophila melanogaster	371	2001-04-26
AA820792	LD24679.5prime LD Drosophila melanogaster embryo pOT2 Drosophila melanogaster cDNA clone LD24679 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/13/2002, mRNA sequence.	Drosophila melanogaster	587	2003-12-03
AY279326	Drosophila eugracilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	Drosophila eugracilis	2675	2006-11-14
X04454	Drosophila melanogaster alcohol dehydrogenase null4 allele	Drosophila melanogaster	2369	2006-11-14
AB026527	Drosophila lutescens gene for alcohol dehydrogenase, partial cds.	Drosophila lutescens	840	2005-04-14
HQ631472	Drosophila constricta alcohol dehydrogenase (adh) gene, partial cds.	Drosophila constricta	290	2012-01-02
HQ631481	Drosophila parabipectinata alcohol dehydrogenase (adh) gene, partial cds.	Drosophila parabipectinata	290	2012-01-02
MF908506	Drosophila subpulchrella alcohol dehydrogenase (adh) gene, partial cds.	Drosophila subpulchrella	763	2018-08-19
Z00033	Drosophila mauritiana alcohol dehydrogenase gene and 5' flanks	Drosophila mauritiana	1835	2005-04-18
KM016469	Drosophila simulans isolate KY31 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	478	2014-09-24
KM016472	Drosophila simulans isolate KY01 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	480	2014-09-24
KM016475	Drosophila simulans isolate KY05 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	479	2014-09-24
X57362	Drosophila simulans (individual d) Adh gene for alcohol dehydrogenase	Drosophila simulans	973	2006-11-14
X57370	Drosophila yakuba (individual f) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
AY279323	Drosophila erecta alcohol dehydrogenase related (Adhr) gene, partial cds.	Drosophila erecta	319	2006-11-14
X60792	D.melanogaster (strain RI32) Adh gene for alcohol dehydrogenase	Drosophila melanogaster	1901	2006-11-14
X57361	Drosophila simulans (individual c) Adh gene for alcohol dehydrogenase	Drosophila simulans	969	2006-11-14
AB154559	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh18.	Drosophila kikkawai	683	2005-04-14
AF201446	Drosophila simulans isolate MD112 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	481	2006-11-14
JX455212	Drosophila simulans isolate HW03 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KJ767239	Drosophila melanogaster strain Samarkand alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanogaster	872	2014-10-29
KX976496	Drosophila yakuba isolate Yakuba_Tai_18 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976499	Drosophila yakuba isolate Yakuba_Airport_16_5 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976511	Drosophila yakuba isolate Yakuba_1_19 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB154546	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh05.	Drosophila kikkawai	686	2005-04-14
AF201431	Drosophila simulans isolate HW09 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
KX976503	Drosophila yakuba isolate Yakuba_SN_Cascade_22 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976508	Drosophila yakuba isolate Yakuba_COST_1235_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
M19276	D.simulans alcohol dehydrogenase gene, exons 1,2 and 3.	Drosophila simulans	829	2006-11-14
AB154545	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh04.	Drosophila kikkawai	683	2005-04-14
AB154555	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh14.	Drosophila kikkawai	683	2005-04-14
AB154563	Drosophila lini gene for alcohol dehydrogenase, partial cds, isolate:DliniAdh.	Drosophila lini	698	2005-04-14
AF201426	Drosophila mauritiana isolate BG1 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila mauritiana	478	2006-11-14
AF201433	Drosophila simulans isolate NC48 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF201439	Drosophila simulans isolate SC00 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	485	2006-11-14
AF201444	Drosophila simulans isolate RU259 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF284480	Drosophila sechellia strain 24 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila sechellia	700	2006-11-14
KX976510	Drosophila yakuba isolate Yakuba_OBAT_1200_5 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB154547	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh06.	Drosophila kikkawai	683	2005-04-14
KX976504	Drosophila yakuba isolate Yakuba_SA_3 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976509	Drosophila yakuba isolate Yakuba_2_14 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976514	Drosophila yakuba isolate Yakuba_2_11b alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976494	Drosophila yakuba isolate Yakuba_Cascade_21_Combined alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB669844	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J6.	Drosophila malagassya	840	2014-01-02
AB669863	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: HNL123.	Drosophila kikkawai	832	2014-01-02
AB669870	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN206.	Drosophila ogumai	836	2014-01-02
AF175213	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h18 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF175215	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h3 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF459754	Drosophila ananassae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila ananassae	290	2006-11-14
AF459774	Drosophila serrata alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila serrata	290	2006-11-14
AB669892	Drosophila pseudobaimaii Adh gene for alcohol dehydrogenase, partial cds, strain: K41.	Drosophila pseudobaimaii	779	2014-01-02
AF459766	Drosophila vulcana alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila vulcana	290	2006-11-14
AB669825	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A12.	Drosophila auraria	842	2014-01-02
AB669845	Drosophila malagassya Adh gene for alcohol dehydrogenase, partial cds, strain: J52.	Drosophila malagassya	836	2014-01-02
AB669878	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: POM503.	Drosophila serrata	838	2014-01-02
AF459748	Drosophila prostipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila prostipennis	290	2006-11-14
AF459752	Drosophila mimetica alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila mimetica	290	2006-11-14
AF459761	Drosophila bicornuta alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila bicornuta	290	2006-11-14
AF459762	Drosophila diplacantha alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila diplacantha	290	2006-11-14
AF459768	Drosophila auraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila auraria	290	2006-11-14
AF459780	Drosophila mayri alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila mayri	290	2006-11-14
AF459759	Drosophila pallidosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila pallidosa	290	2006-11-14
AH011596	Drosophila lutescens strain 14022-0271.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila lutescens	911	2016-04-08
AB669823	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: AM2K-1.	Drosophila asahinai	839	2014-01-02
AB669843	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: gree-CNRS.	Drosophila greeni	830	2014-01-02
AH011595	Drosophila triauraria strain 14028-0691.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila triauraria	546	2016-04-08
AB669857	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0491.01.	Drosophila barbarae	833	2014-01-02
LC057200	Drosophila pseudotakahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0301.00.	Drosophila pseudotakahashii	830	2019-06-04
AB669880	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0481.00.	Drosophila baimaii	838	2014-01-02
M19547	D.melanogaster (strain Af-S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	Drosophila melanogaster	7119	2006-11-14
AB194438	Drosophila bipectinata Adh gene for alcohol dehydrogenase, partial cds, strain:wild type B133.	Drosophila bipectinata	759	2006-02-27
AB669876	Drosophila birchii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0521.01.	Drosophila birchii	833	2014-01-02
AB194422	Drosophila malerkotliana malerkotliana Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila malerkotliana malerkotliana	1782	2006-02-27
AF348884	Drosophila rufa strain MS alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila rufa	667	2006-11-14
U35852	Drosophila melanogaster truncated jockey retroposon insertion upstream of the alcohol dehydrogenase gene enhancer region, 3' end.	Drosophila melanogaster	303	2005-06-14
CV785154	zaa07h09.y2 D yakuba testes cDNA Drosophila yakuba cDNA 5' similar to SW:ADH_DROTS P51550 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	433	2004-11-12
CV785799	zaa02h11.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROYA P26719 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	521	2004-11-12
CV878941	zaa98d08.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROGU Q09009 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	703	2004-11-20
CV879066	zab02h12.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	709	2004-11-20
AI404931	GH24792.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH24792 5prime similar to X60791: D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase, mRNA sequence.	Drosophila melanogaster	702	2001-04-25
AI108260	GH07054.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH07054 5prime similar to M17831: D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds, mRNA sequence.	Drosophila melanogaster	378	2001-04-25
BF490844	AT27452.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT27452 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	Drosophila melanogaster	668	2001-04-28
AI260852	LP04842.5prime LP Drosophila melanogaster larval-early pupal pOT2 Drosophila melanogaster cDNA clone LP04842 5prime similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds, mRNA sequence.	Drosophila melanogaster	737	2001-04-24
BI617843	RH48301.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH48301 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/18/2001, mRNA sequence.	Drosophila melanogaster	512	2001-09-11
BI635199	SD16470.5prime SD Drosophila melanogaster Schneider L2 cell culture pOT2 Drosophila melanogaster cDNA clone SD16470 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 05/18/2001, mRNA sequence.	Drosophila melanogaster	558	2001-09-11
AW941952	GM05887.3prime GM Drosophila melanogaster ovary BlueScript Drosophila melanogaster cDNA clone GM05887 3 similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds. CDS:<1..184 PID:g1655925 GI:1655925, mRNA sequence.	Drosophila melanogaster	450	2003-12-03
KX384731	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.	Drosophila takahashii	2658	2017-01-03
AY331979	Drosophila lini alcohol dehydrogenase gene, partial cds.	Drosophila lini	785	2005-04-16
HQ631475	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.	Drosophila jambulina	290	2012-01-02
HQ631480	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.	Drosophila ohnishii	290	2012-01-02
HQ631478	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.	Drosophila madikerii	290	2012-01-02
M36580	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila melanogaster	2686	2006-11-14
GQ376033	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila bunnanda	410	2009-08-03
X57375	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
